Order_ID,Order_Date,Customer_Name,Segment,Region,State,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD100023,2025-05-27,Customer 1138,Consumer,West,Rajasthan,Office Supplies,Art Supplies,Markers,2,391.21,0,782.43,162.29
ORD100024,2025-01-30,Customer 1017,Corporate,North,Punjab,Furniture,Tables,Office Table,5,7002.79,0.02,34313.65,3090.79
ORD100025,2025-07-26,Customer 1133,Consumer,North,Haryana,Office Supplies,Binders,Ring Binder,5,114.43,0.2,457.73,72.51
ORD100026,2025-04-15,Customer 1192,Small Business,East,West Bengal,Technology,Printers,Laser Printer,6,25074.02,0.1,135399.72,16865.25
ORD100027,2025-08-23,Customer 1225,Consumer,North,Haryana,Technology,Laptops,Ultrabook,3,58907.94,0.05,167887.63,43867.38
ORD100028,2025-03-22,Customer 1026,Small Business,West,Gujarat,Office Supplies,Storage,Storage Box,6,4939.2,0.05,28153.46,7671.43
ORD100029,2025-05-16,Customer 1175,Corporate,North,Haryana,Office Supplies,Binders,Presentation Binder,3,334.03,0.2,801.67,84.52
ORD100030,2025-09-16,Customer 1085,Corporate,West,Rajasthan,Technology,Phones,Galaxy Phone,6,46379.58,0.05,264363.59,20408.63
ORD100031,2025-03-24,Customer 1139,Consumer,West,Rajasthan,Furniture,Furnishings,Desk Organizer,1,1171.24,0.2,936.99,214.44
ORD100032,2025-10-26,Customer 1053,Corporate,South,Telangana,Furniture,Chairs,Office Chair,3,16535.23,0,49605.69,13778.65
ORD100033,2025-07-01,Customer 1006,Consumer,West,Rajasthan,Office Supplies,Binders,Ring Binder,7,148.25,0.02,1017.0,273.48
ORD100034,2025-07-30,Customer 1209,Small Business,South,Karnataka,Technology,Phones,Pixel Phone,7,20594.55,0.1,129745.66,13485.17
ORD100035,2025-06-06,Customer 1071,Consumer,South,Tamil Nadu,Technology,Laptops,Gaming Laptop,3,74253.32,0,222759.96,65205.32
ORD100036,2025-12-14,Customer 1152,Consumer,East,Bihar,Office Supplies,Paper,Premium Paper,2,627.38,0.05,1192.03,90.49
ORD100037,2025-08-12,Customer 1206,Consumer,North,Punjab,Furniture,Tables,Meeting Table,1,22719.63,0,22719.63,4416.3
ORD100038,2025-07-06,Customer 1129,Consumer,West,Goa,Technology,Accessories,Headset,6,6042.5,0.2,29003.98,6613.21
ORD100039,2025-06-17,Customer 1231,Consumer,West,Rajasthan,Office Supplies,Binders,Ring Binder,4,359.27,0.1,1293.37,263.86
ORD100040,2025-07-27,Customer 1113,Consumer,North,Punjab,Technology,Laptops,Gaming Laptop,7,105898.4,0.2,593031.05,59833.77
ORD100041,2025-09-19,Customer 1023,Corporate,West,Gujarat,Office Supplies,Binders,Ring Binder,3,296.49,0.2,711.58,118.29
ORD100042,2025-12-11,Customer 1196,Consumer,East,Jharkhand,Technology,Laptops,Business Laptop,1,49852.44,0.1,44867.2,8501.45
ORD100043,2025-11-19,Customer 1228,Corporate,South,Telangana,Office Supplies,Art Supplies,Sketch Pens,4,330.58,0.2,1057.86,191.77
ORD100044,2025-08-06,Customer 1205,Consumer,South,Karnataka,Technology,Printers,Laser Printer,5,13977.55,0,69887.76,12609.26
ORD100045,2025-08-15,Customer 1063,Small Business,West,Rajasthan,Office Supplies,Art Supplies,Markers,6,1040.72,0.1,5619.88,629.55
ORD100046,2025-09-24,Customer 1081,Small Business,West,Maharashtra,Furniture,Bookcases,Metal Bookcase,1,16987.04,0.02,16647.29,2243.68
ORD100047,2025-03-12,Customer 1119,Consumer,South,Andhra Pradesh,Technology,Laptops,Ultrabook,2,51744.03,0.1,93139.25,11902.63
ORD100048,2025-08-04,Customer 1099,Small Business,West,Goa,Office Supplies,Paper,Premium Paper,4,253.83,0.05,964.56,128.47
ORD100049,2025-10-03,Customer 1204,Consumer,South,Andhra Pradesh,Furniture,Bookcases,Metal Bookcase,4,5007.93,0.05,19030.15,4084.86
ORD100050,2025-08-28,Customer 1109,Consumer,South,Tamil Nadu,Office Supplies,Paper,Premium Paper,5,616.85,0,3084.27,303.7
ORD100051,2025-04-04,Customer 1243,Small Business,North,Haryana,Technology,Accessories,Keyboard,4,2759.13,0.1,9932.86,1154.36
ORD100052,2025-02-11,Customer 1007,Small Business,West,Gujarat,Technology,Phones,Pixel Phone,2,61559.65,0.2,98495.45,3827.22
ORD100053,2025-01-11,Customer 1196,Consumer,South,Telangana,Technology,Printers,Laser Printer,5,33537.2,0.1,150917.38,31523.97
ORD100054,2025-03-25,Customer 1183,Consumer,East,Odisha,Technology,Phones,Pixel Phone,5,63382.27,0.1,285220.21,40576.56
ORD100055,2025-02-22,Customer 1129,Corporate,East,West Bengal,Office Supplies,Paper,A4 Paper,3,596.28,0.2,1431.08,159.6
ORD100056,2025-08-04,Customer 1247,Corporate,West,Goa,Technology,Accessories,USB Hub,6,1663.84,0.02,9783.4,2313.14
ORD100057,2025-08-27,Customer 1115,Consumer,West,Goa,Office Supplies,Storage,File Cabinet,7,1623.87,0,11367.1,1606.9
ORD100058,2025-10-19,Customer 1087,Consumer,West,Rajasthan,Technology,Printers,Inkjet Printer,2,20651.4,0.05,39237.66,9535.66
ORD100059,2025-10-12,Customer 1061,Corporate,North,Uttar Pradesh,Furniture,Tables,Office Table,2,23001.87,0.1,41403.36,7334.14
ORD100060,2025-08-18,Customer 1121,Corporate,North,Haryana,Technology,Laptops,Gaming Laptop,6,70547.04,0.2,338625.8,53483.31
ORD100061,2025-08-06,Customer 1080,Consumer,East,Odisha,Technology,Printers,Inkjet Printer,3,14039.3,0,42117.91,10052.81
ORD100062,2025-04-09,Customer 1045,Consumer,South,Andhra Pradesh,Office Supplies,Storage,File Cabinet,1,5029.24,0.05,4777.78,561.61
ORD100063,2025-05-21,Customer 1003,Corporate,North,Uttar Pradesh,Office Supplies,Storage,Storage Box,6,5237.07,0.1,28280.2,2193.68
ORD100064,2025-09-03,Customer 1018,Corporate,West,Maharashtra,Technology,Phones,Pixel Phone,7,50007.86,0,350054.99,58863.72
ORD100065,2025-03-19,Customer 1202,Corporate,South,Tamil Nadu,Office Supplies,Storage,Storage Box,2,887.02,0.1,1596.63,300.79
ORD100066,2025-08-19,Customer 1025,Small Business,West,Gujarat,Technology,Printers,Inkjet Printer,5,24388.76,0.15,103652.25,26299.06
ORD100067,2025-11-17,Customer 1104,Consumer,South,Tamil Nadu,Technology,Phones,Galaxy Phone,2,29645.51,0,59291.02,6785.1
ORD100068,2025-05-30,Customer 1160,Corporate,North,Punjab,Technology,Accessories,USB Hub,1,5030.52,0.05,4779.0,1150.89
ORD100069,2025-08-06,Customer 1078,Corporate,North,Haryana,Furniture,Tables,Meeting Table,7,8555.91,0,59891.35,6977.52
ORD100070,2025-08-13,Customer 1153,Consumer,North,Uttar Pradesh,Furniture,Bookcases,Metal Bookcase,3,13258.26,0.1,35797.31,5416.38
ORD100071,2025-06-15,Customer 1195,Corporate,East,Bihar,Technology,Laptops,Ultrabook,7,135354.27,0.15,805357.92,202686.83
ORD100072,2025-10-23,Customer 1149,Consumer,North,Uttar Pradesh,Office Supplies,Binders,Presentation Binder,5,353.63,0.05,1679.76,180.45
ORD100073,2025-02-16,Customer 1177,Consumer,West,Goa,Technology,Accessories,Headset,6,1358.98,0.02,7990.8,1179.1
ORD100074,2025-10-09,Customer 1211,Small Business,North,Uttar Pradesh,Furniture,Bookcases,Metal Bookcase,3,6528.63,0.1,17627.3,4323.63
ORD100075,2025-07-31,Customer 1140,Consumer,North,Haryana,Technology,Accessories,USB Hub,6,3484.86,0,20909.15,2609.1
ORD100076,2025-08-13,Customer 1023,Consumer,West,Maharashtra,Technology,Laptops,Ultrabook,2,77628.76,0,155257.53,31283.66
ORD100077,2025-08-25,Customer 1213,Consumer,North,Uttar Pradesh,Furniture,Tables,Meeting Table,6,12296.54,0.2,59023.39,5321.16
ORD100078,2025-05-05,Customer 1070,Corporate,West,Goa,Furniture,Furnishings,Desk Lamp,5,3549.45,0.02,17392.28,4610.45
ORD100079,2025-06-24,Customer 1038,Consumer,East,Jharkhand,Office Supplies,Storage,File Cabinet,7,3604.24,0.2,20183.74,2779.72
ORD100080,2025-06-26,Customer 1098,Consumer,East,Jharkhand,Furniture,Furnishings,Whiteboard,3,5717.61,0.2,13722.26,1132.6
ORD100081,2025-01-23,Customer 1126,Small Business,East,Odisha,Office Supplies,Art Supplies,Sketch Pens,6,961.25,0.2,4614.01,1134.03
ORD100082,2025-09-15,Customer 1104,Small Business,East,Odisha,Office Supplies,Art Supplies,Markers,5,1097.01,0,5485.04,1310.58
ORD100083,2025-02-08,Customer 1084,Small Business,West,Goa,Office Supplies,Storage,File Cabinet,5,4217.69,0.2,16870.75,804.22
ORD100084,2025-06-12,Customer 1191,Consumer,West,Maharashtra,Office Supplies,Paper,A4 Paper,2,660.25,0.05,1254.48,359.95
ORD100085,2025-11-21,Customer 1095,Consumer,North,Punjab,Furniture,Bookcases,Wood Bookcase,1,10176.56,0,10176.56,1470.93
ORD100086,2025-09-29,Customer 1061,Consumer,West,Gujarat,Furniture,Tables,Office Table,2,6974.21,0.1,12553.58,2401.95
ORD100087,2025-04-29,Customer 1173,Consumer,West,Maharashtra,Furniture,Furnishings,Whiteboard,6,556.38,0.1,3004.48,760.93
ORD100088,2025-08-15,Customer 1098,Small Business,East,West Bengal,Office Supplies,Storage,File Cabinet,6,1650.57,0.05,9408.25,1047.4
ORD100089,2025-05-02,Customer 1002,Corporate,West,Maharashtra,Furniture,Bookcases,Metal Bookcase,1,21614.03,0.2,17291.22,2024.41
ORD100090,2025-11-07,Customer 1158,Consumer,West,Gujarat,Office Supplies,Storage,Storage Box,5,4851.21,0.02,23770.91,5112.07
ORD100091,2025-11-18,Customer 1033,Consumer,North,Haryana,Office Supplies,Paper,Premium Paper,7,536.54,0.15,3192.38,391.93
ORD100092,2025-06-17,Customer 1065,Small Business,West,Goa,Technology,Laptops,Ultrabook,3,100739.5,0.05,287107.57,71835.46
ORD100093,2025-06-01,Customer 1185,Corporate,East,Jharkhand,Office Supplies,Art Supplies,Markers,2,917.27,0.02,1797.86,475.05
ORD100094,2025-10-13,Customer 1191,Corporate,East,Jharkhand,Technology,Printers,Laser Printer,3,22024.02,0.1,59464.87,8092.5
ORD100095,2025-11-23,Customer 1156,Consumer,East,West Bengal,Technology,Laptops,Gaming Laptop,1,110052.42,0.15,93544.56,10725.95
ORD100096,2025-11-22,Customer 1126,Consumer,West,Gujarat,Office Supplies,Storage,File Cabinet,1,1010.71,0,1010.71,148.53
ORD100097,2025-10-03,Customer 1167,Consumer,South,Tamil Nadu,Furniture,Bookcases,Metal Bookcase,5,17489.71,0.02,85699.57,23120.97
ORD100098,2025-11-12,Customer 1060,Small Business,West,Maharashtra,Office Supplies,Storage,Storage Box,6,2349.07,0.1,12685.0,1938.69
ORD100099,2025-12-18,Customer 1210,Consumer,East,Odisha,Furniture,Bookcases,Wood Bookcase,4,9327.93,0,37311.7,10774.96
ORD100100,2025-11-25,Customer 1195,Corporate,North,Punjab,Technology,Accessories,Keyboard,2,5657.96,0.02,11089.61,999.11
ORD100101,2025-04-30,Customer 1204,Consumer,East,West Bengal,Office Supplies,Paper,Premium Paper,7,889.62,0.02,6102.78,1183.01
ORD100102,2025-03-09,Customer 1189,Consumer,North,Delhi,Technology,Laptops,Ultrabook,3,46657.01,0.05,132972.49,10508.52
ORD100103,2025-02-02,Customer 1200,Small Business,West,Rajasthan,Furniture,Bookcases,Wood Bookcase,4,13317.18,0.15,45278.4,2356.3
ORD100104,2025-08-23,Customer 1113,Consumer,North,Delhi,Technology,Printers,Inkjet Printer,4,26210.73,0.1,94358.63,19978.39
ORD100105,2025-06-14,Customer 1129,Corporate,South,Telangana,Technology,Accessories,Headset,4,6966.15,0.15,23684.93,2543.23
ORD100106,2025-12-26,Customer 1116,Consumer,North,Delhi,Office Supplies,Binders,Presentation Binder,4,453.0,0.1,1630.79,211.29
ORD100107,2025-06-10,Customer 1212,Consumer,West,Goa,Technology,Accessories,Headset,2,5026.97,0.1,9048.55,631.31
ORD100108,2025-02-19,Customer 1240,Corporate,East,West Bengal,Office Supplies,Paper,Premium Paper,6,329.45,0.05,1877.87,487.67
ORD100109,2025-05-28,Customer 1142,Consumer,East,Bihar,Technology,Laptops,Business Laptop,6,95629.89,0,573779.32,90097.74
ORD100110,2025-10-21,Customer 1235,Consumer,South,Telangana,Office Supplies,Paper,Premium Paper,1,367.27,0.2,293.82,58.1
ORD100111,2025-04-03,Customer 1135,Consumer,South,Tamil Nadu,Furniture,Furnishings,Desk Lamp,2,4945.81,0,9891.63,991.01
ORD100112,2025-08-21,Customer 1013,Consumer,East,West Bengal,Technology,Accessories,Headset,7,6630.87,0.15,39453.66,2414.19
ORD100113,2025-12-12,Customer 1131,Consumer,North,Uttar Pradesh,Technology,Printers,Inkjet Printer,5,19377.24,0.05,92041.88,10577.93
ORD100114,2025-02-26,Customer 1153,Consumer,East,Odisha,Office Supplies,Art Supplies,Notebooks,6,404.68,0.02,2379.53,385.38
ORD100115,2025-06-04,Customer 1044,Consumer,South,Andhra Pradesh,Office Supplies,Storage,File Cabinet,3,895.91,0.1,2418.95,530.58
ORD100116,2025-09-14,Customer 1147,Consumer,East,Jharkhand,Technology,Phones,Pixel Phone,1,48803.53,0,48803.53,13160.57
ORD100117,2025-12-30,Customer 1176,Small Business,West,Maharashtra,Technology,Printers,Laser Printer,3,11812.45,0.15,30121.75,4329.14
ORD100118,2025-08-12,Customer 1085,Corporate,North,Delhi,Technology,Printers,Laser Printer,4,31374.68,0.2,100398.99,10511.06
ORD100119,2025-09-19,Customer 1060,Consumer,North,Haryana,Furniture,Tables,Meeting Table,3,23184.48,0.2,55642.75,11646.48
ORD100120,2025-04-12,Customer 1194,Corporate,South,Karnataka,Furniture,Chairs,Ergonomic Chair,7,12605.26,0.1,79413.12,17548.56
ORD100121,2025-11-18,Customer 1090,Consumer,East,Bihar,Technology,Phones,Pixel Phone,4,60302.8,0.05,229150.65,45283.0
ORD100122,2025-08-25,Customer 1129,Consumer,West,Maharashtra,Technology,Accessories,Headset,1,4761.4,0,4761.4,1025.14
ORD100123,2025-08-19,Customer 1021,Consumer,South,Andhra Pradesh,Technology,Printers,Laser Printer,1,19614.65,0.05,18633.91,5285.04
ORD100124,2025-01-21,Customer 1072,Consumer,South,Karnataka,Office Supplies,Art Supplies,Notebooks,5,751.28,0.05,3568.56,533.6
ORD100125,2025-12-14,Customer 1064,Corporate,North,Punjab,Office Supplies,Storage,Storage Box,3,748.13,0.2,1795.52,206.56
ORD100126,2025-06-20,Customer 1033,Corporate,North,Delhi,Furniture,Tables,Meeting Table,3,29192.41,0.2,70061.79,12307.74
ORD100127,2025-06-08,Customer 1233,Consumer,West,Goa,Furniture,Bookcases,Wood Bookcase,6,16799.54,0.2,80637.79,20109.14
ORD100128,2025-09-18,Customer 1035,Consumer,East,Bihar,Technology,Accessories,Keyboard,2,2852.91,0.1,5135.24,499.36
ORD100129,2025-02-21,Customer 1207,Small Business,North,Uttar Pradesh,Office Supplies,Binders,Presentation Binder,2,148.14,0.2,237.03,47.32
ORD100130,2025-01-23,Customer 1059,Consumer,West,Rajasthan,Furniture,Tables,Meeting Table,5,12123.2,0.2,48492.79,9816.69
ORD100131,2025-08-29,Customer 1107,Small Business,South,Andhra Pradesh,Furniture,Furnishings,Whiteboard,7,2190.63,0.1,13800.97,2285.99
ORD100132,2025-11-06,Customer 1132,Small Business,South,Karnataka,Office Supplies,Paper,Premium Paper,7,491.29,0,3439.02,813.36
ORD100133,2025-02-12,Customer 1226,Consumer,South,Telangana,Technology,Laptops,Gaming Laptop,1,144373.39,0.02,141485.92,36032.89
ORD100134,2025-08-01,Customer 1081,Small Business,North,Haryana,Furniture,Bookcases,Wood Bookcase,4,21904.19,0.05,83235.94,9730.16
ORD100135,2025-03-16,Customer 1231,Consumer,South,Karnataka,Technology,Printers,Laser Printer,7,26755.01,0.1,168556.58,32089.23
ORD100136,2025-04-21,Customer 1061,Consumer,South,Tamil Nadu,Furniture,Furnishings,Desk Lamp,7,2228.61,0.05,14820.25,1397.65
ORD100137,2025-02-02,Customer 1183,Consumer,North,Uttar Pradesh,Office Supplies,Art Supplies,Notebooks,5,68.9,0.15,292.83,49.49
ORD100138,2025-01-01,Customer 1017,Small Business,East,West Bengal,Technology,Printers,Laser Printer,6,25710.02,0.15,131121.09,33688.15
ORD100139,2025-07-19,Customer 1088,Consumer,West,Maharashtra,Technology,Printers,Inkjet Printer,3,27924.86,0.05,79585.86,19178.16
ORD100140,2025-10-25,Customer 1178,Consumer,East,Odisha,Technology,Accessories,Headset,7,4749.61,0.2,26597.83,3516.69
ORD100141,2025-03-11,Customer 1080,Small Business,North,Uttar Pradesh,Office Supplies,Art Supplies,Markers,3,281.83,0.02,828.58,223.61
ORD100142,2025-10-06,Customer 1084,Consumer,West,Rajasthan,Technology,Laptops,Gaming Laptop,3,135524.55,0,406573.64,109968.26
ORD100143,2025-08-12,Customer 1204,Consumer,West,Maharashtra,Office Supplies,Art Supplies,Sketch Pens,2,620.63,0.1,1117.14,151.73
ORD100144,2025-08-06,Customer 1075,Consumer,North,Uttar Pradesh,Furniture,Tables,Study Table,3,13030.29,0,39090.86,5947.38
ORD100145,2025-03-27,Customer 1070,Corporate,West,Maharashtra,Technology,Phones,iPhone,7,79077.68,0.15,470512.22,123318.02
ORD100146,2025-02-08,Customer 1008,Consumer,West,Gujarat,Furniture,Tables,Office Table,2,26216.73,0.2,41946.77,8468.58
ORD100147,2025-11-27,Customer 1195,Consumer,East,Odisha,Furniture,Chairs,Visitor Chair,2,13346.4,0.05,25358.16,3787.06
ORD100148,2025-09-29,Customer 1099,Small Business,East,West Bengal,Furniture,Bookcases,Wood Bookcase,1,4953.48,0.02,4854.41,897.05
ORD100149,2025-05-15,Customer 1034,Small Business,East,Jharkhand,Office Supplies,Binders,Presentation Binder,6,464.92,0.1,2510.57,248.65
ORD100150,2025-03-30,Customer 1076,Small Business,West,Gujarat,Office Supplies,Storage,File Cabinet,6,576.65,0.15,2940.9,312.85
ORD100151,2025-07-05,Customer 1146,Consumer,South,Andhra Pradesh,Technology,Laptops,Business Laptop,2,127989.17,0,255978.34,40802.24
ORD100152,2025-11-10,Customer 1018,Consumer,North,Haryana,Technology,Printers,Inkjet Printer,5,18502.26,0.1,83260.19,19660.62
ORD100153,2025-11-25,Customer 1196,Small Business,North,Uttar Pradesh,Furniture,Bookcases,Wood Bookcase,7,18154.6,0.2,101665.77,16196.67
ORD100154,2025-09-15,Customer 1242,Small Business,North,Haryana,Office Supplies,Binders,Presentation Binder,2,148.03,0.2,236.84,18.85
ORD100155,2025-02-10,Customer 1164,Consumer,East,Odisha,Technology,Accessories,Keyboard,6,2607.8,0.15,13299.75,838.61
ORD100156,2025-03-29,Customer 1067,Corporate,East,Jharkhand,Office Supplies,Paper,A4 Paper,1,279.55,0.2,223.64,44.64
ORD100157,2025-11-13,Customer 1116,Consumer,North,Delhi,Furniture,Bookcases,Metal Bookcase,4,8785.36,0.2,28113.16,3355.03
ORD100158,2025-03-22,Customer 1081,Corporate,West,Rajasthan,Furniture,Furnishings,Desk Lamp,3,4139.96,0.05,11798.89,3032.63
ORD100159,2025-07-24,Customer 1036,Consumer,South,Karnataka,Office Supplies,Paper,Premium Paper,2,553.21,0.05,1051.09,174.91
ORD100160,2025-07-16,Customer 1127,Small Business,West,Goa,Technology,Laptops,Gaming Laptop,5,120718.49,0.02,591520.58,143672.48
ORD100161,2025-09-13,Customer 1090,Consumer,East,Bihar,Furniture,Chairs,Office Chair,5,10129.84,0.02,49636.24,6072.09
ORD100162,2025-09-11,Customer 1195,Consumer,West,Maharashtra,Technology,Phones,Galaxy Phone,4,26973.64,0.05,102499.84,23324.02
ORD100163,2025-07-25,Customer 1195,Consumer,North,Delhi,Furniture,Tables,Meeting Table,5,12215.04,0.1,54967.69,9121.13
ORD100164,2025-03-07,Customer 1128,Consumer,North,Delhi,Furniture,Bookcases,Metal Bookcase,7,7024.68,0.15,41796.84,6457.9
ORD100165,2025-03-12,Customer 1156,Consumer,East,Jharkhand,Office Supplies,Art Supplies,Markers,5,1077.1,0.02,5277.8,776.64
ORD100166,2025-11-12,Customer 1172,Consumer,East,Jharkhand,Furniture,Furnishings,Desk Organizer,5,2298.74,0,11493.72,1850.93
ORD100167,2025-10-26,Customer 1184,Consumer,East,Jharkhand,Office Supplies,Paper,Premium Paper,3,878.6,0.15,2240.42,379.93
ORD100168,2025-03-29,Customer 1112,Consumer,West,Gujarat,Technology,Laptops,Business Laptop,5,144561.54,0,722807.71,88162.7
ORD100169,2025-07-31,Customer 1143,Consumer,South,Tamil Nadu,Furniture,Furnishings,Desk Organizer,6,873.69,0.02,5137.28,971.51
ORD100170,2025-09-27,Customer 1222,Corporate,West,Rajasthan,Technology,Laptops,Gaming Laptop,5,80944.34,0.05,384485.6,83122.36
ORD100171,2025-11-09,Customer 1180,Consumer,West,Goa,Technology,Laptops,Gaming Laptop,5,76342.41,0.05,362626.46,85999.89
ORD100172,2025-06-12,Customer 1101,Corporate,West,Gujarat,Technology,Accessories,Headset,1,4312.9,0.15,3665.97,462.03
ORD100173,2025-05-29,Customer 1051,Corporate,North,Haryana,Technology,Phones,Pixel Phone,4,61950.13,0.2,198240.41,26841.24
ORD100174,2025-10-15,Customer 1059,Consumer,East,Jharkhand,Technology,Laptops,Business Laptop,1,115332.57,0.15,98032.68,9033.49
ORD100175,2025-06-19,Customer 1239,Small Business,West,Goa,Technology,Laptops,Business Laptop,5,147680.62,0.02,723635.06,119052.18
ORD100176,2025-09-02,Customer 1059,Consumer,South,Telangana,Office Supplies,Storage,File Cabinet,3,3946.21,0,11838.62,2646.0
ORD100177,2025-03-31,Customer 1191,Small Business,West,Rajasthan,Office Supplies,Binders,Ring Binder,7,246.74,0.1,1554.45,149.21
ORD100178,2025-01-20,Customer 1126,Small Business,North,Punjab,Technology,Phones,Pixel Phone,3,48441.39,0.2,116259.33,17383.81
ORD100179,2025-09-16,Customer 1047,Consumer,West,Rajasthan,Technology,Phones,Pixel Phone,2,66984.99,0.2,107175.98,9281.26
ORD100180,2025-06-01,Customer 1047,Small Business,South,Tamil Nadu,Technology,Printers,Inkjet Printer,5,16181.95,0.1,72818.76,14726.6
ORD100181,2025-06-15,Customer 1185,Corporate,South,Karnataka,Technology,Printers,Laser Printer,4,28105.19,0.05,106799.71,14303.48
ORD100182,2025-12-01,Customer 1236,Small Business,East,Bihar,Office Supplies,Paper,A4 Paper,4,449.42,0.1,1617.93,333.19
ORD100183,2025-12-20,Customer 1116,Corporate,North,Haryana,Furniture,Bookcases,Metal Bookcase,5,8364.86,0.02,40987.82,7386.01
ORD100184,2025-08-01,Customer 1135,Corporate,West,Maharashtra,Office Supplies,Binders,Ring Binder,6,396.99,0,2381.94,465.94
ORD100185,2025-10-16,Customer 1113,Consumer,North,Punjab,Technology,Laptops,Ultrabook,5,60734.5,0.05,288488.88,73705.13
ORD100186,2025-10-26,Customer 1014,Corporate,West,Rajasthan,Technology,Printers,Laser Printer,4,10694.44,0.1,38499.99,5986.58
ORD100187,2025-01-12,Customer 1179,Consumer,West,Maharashtra,Technology,Phones,iPhone,2,56746.85,0,113493.71,19658.63
ORD100188,2025-02-05,Customer 1165,Small Business,West,Rajasthan,Technology,Printers,Laser Printer,7,10792.01,0.2,60435.25,14820.74
ORD100189,2025-07-15,Customer 1034,Corporate,West,Rajasthan,Office Supplies,Art Supplies,Sketch Pens,1,835.14,0.2,668.11,148.59
ORD100190,2025-03-02,Customer 1193,Consumer,South,Karnataka,Office Supplies,Art Supplies,Notebooks,2,887.04,0.02,1738.59,449.71
ORD100191,2025-08-26,Customer 1224,Corporate,West,Maharashtra,Furniture,Tables,Office Table,4,13653.99,0.05,51885.17,5653.7
ORD100192,2025-01-17,Customer 1153,Corporate,West,Maharashtra,Furniture,Chairs,Ergonomic Chair,2,4475.72,0.15,7608.72,379.57
ORD100193,2025-05-06,Customer 1074,Consumer,North,Haryana,Furniture,Tables,Study Table,2,23859.64,0,47719.29,5288.72
ORD100194,2025-10-23,Customer 1142,Small Business,East,Odisha,Technology,Laptops,Ultrabook,5,68209.49,0.05,323995.07,41482.34
ORD100195,2025-11-17,Customer 1106,Consumer,West,Rajasthan,Furniture,Chairs,Office Chair,6,13234.47,0.15,67495.78,7601.48
ORD100196,2025-07-12,Customer 1118,Small Business,South,Tamil Nadu,Office Supplies,Art Supplies,Markers,7,309.15,0.2,1731.22,106.92
